"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on UHVDC Transmission Capacity Improvement under the Background of Carbon Neutral","C. Deng; N. Wei; Z. An; S. Liu; Q. Qi; D. Wang","Transmission Network Planning Center State Grid Economic and Technological Research Institute, Beijing, China; Transmission Network Planning Center State Grid Economic and Technological Research Institute, Beijing, China; Transmission Network Planning Center State Grid Economic and Technological Research Institute, Beijing, China; Transmission Network Planning Center State Grid Economic and Technological Research Institute, Beijing, China; Transmission Network Planning Center State Grid Economic and Technological Research Institute, Beijing, China; Transmission Network Planning Center State Grid Economic and Technological Research Institute, Beijing, China",2021 IEEE 4th International Conference on Renewable Energy and Power Engineering (REPE),"3 Dec 2021","2021","","","6","10","Under the background of “carbon neutralization, carbon peak”, power generation enterprises vigorously develop clean energy, and some UHVDC supporting thermal power units are replaced by new energy units. Considering that all thermal power plants under construction are put into operation, and the subsequent thermal power plants can not be put into operation as planned, combined with the current limited factors of UHVDC capacity, this paper proposes a scheme from two aspects of controlling the transient overvoltage level and ensuring the collection of DC power, so as to improve the UHVDC transmission capacity. The research shows that the scheme of installing a condenser in the converter station is recommended, which can improve the DC transmission capacity to full power operation, and has no impact on the supply and demand situation in the province and the grid structure at the sending end. “New energy + energy storage + distributed condenser” is recommended to meet the demand of DC power. This study provides an important reference for large-scale new energy units connected to UHVDC System.","","978-1-6654-4371-5","10.1109/REPE52765.2021.9617020","Science and Technology Project of State Grid Corporation of China(grant numbers:5100-202156006A-0-0-00); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9617020","carbon neutral;UHVDC;transmission capacity improvement;condenser;new energy consumption","Renewable energy sources;Power engineering;Thermal factors;Supply and demand;Power supplies;Carbon;Voltage control","","3","","7","IEEE","3 Dec 2021","","","IEEE","IEEE Conferences"
"Exergy Analysis of Hot-Windbox Repowering Option For A Coal-Fired Thermal Power Plant","A. A. Erdogan; M. Zeki Yilmazoglu","Mechanical Engineering, Gazi University, Ankara, Turkey; Mechanical Engineering, Gazi University, Ankara, Turkey",2020 5th International Conference on Smart and Sustainable Technologies (SpliTech),"4 Nov 2020","2020","","","1","4","This study investigates the exergetic effects of the hot-windbox repowering option for a coal-fired thermal power plant. The hot-windbox repowering option consists of a gas turbine, an air-to-water heat exchanger for feedwater heating, and an air-to-air heat exchanger to preheat the combustion air. An air dilution part is also needed for the required temperature set at the inlet of burners. A burner modification can also be necessary without air dilution dampers. Exergy calculations for the power plant before repowering were performed according to the design data of Soma-A Thermal Power Plant and were repeated for the hot-windbox repowering (HWB) scheme. According to the results, the percent exergy destruction in the boiler decreased from 84.70% to 68.80%, which that in the combustion chamber of the gas turbine (GT) was 14.77%. Total exergy destruction increased from 56.65 MW to 69.33 MW, whereas the total exergy destruction per installed capacity decreased from 2.39 MW/MWel to 2.06 MW/MWel, and exergetic efficiency of the power plant increased from 29.13% to 34.70% after hot windbox repowering.","","978-953-290-105-4","10.23919/SpliTech49282.2020.9243848","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9243848","repowering;emission reduction;power plant;hot windbox;exergy","Resistance;Furnaces;Combustion;Shock absorbers;Thermal analysis;Power generation;Turbines","","","","9","","4 Nov 2020","","","IEEE","IEEE Conferences"
"Combined Heat and Power Optimal Scheduling of Virtual Power Plant Considering Carbon Capture and Demand Response","J. Chen; Z. Ding; X. Ran; C. Wang; Y. Zhang; M. Yang; S. Gu; H. Zheng","Kuitun Power Supply Company of State Grid Xinjiang Electric Power Co., Ltd, Xinjiang, China; Kuitun Power Supply Company of State Grid Xinjiang Electric Power Co., Ltd, Xinjiang, China; Kuitun Power Supply Company of State Grid Xinjiang Electric Power Co., Ltd, Xinjiang, China; Kuitun Power Supply Company of State Grid Xinjiang Electric Power Co., Ltd, Xinjiang, China; Kuitun Power Supply Company of State Grid Xinjiang Electric Power Co., Ltd, Xinjiang, China; Kuitun Power Supply Company of State Grid Xinjiang Electric Power Co., Ltd, Xinjiang, China; Kuitun Power Supply Company of State Grid Xinjiang Electric Power Co., Ltd, Xinjiang, China; School of Electrical and Electronic Engineering, North China Electric Power University, Beijing, China",2023 5th International Conference on Power and Energy Technology (ICPET),"29 Dec 2023","2023","","","1376","1384","Due to the unique working mode of coal-fired thermal power units and wind power reverse. The peak-shaving characteristics lead to the problem of insufficient peak-shaving capacity of virtual power plants, and high carbon emissions. At present, reasonable demand response is supplemented by carbon capture technology. Carbon capture mechanism is an important means to realize flexible and low-carbon operation of virtual power plants.","","979-8-3503-3967-3","10.1109/ICPET59380.2023.10367673","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10367673","virtual power plants;demand response;Carbon capture;optimal scheduling","Economics;Solid modeling;Renewable energy sources;Carbon dioxide;Optimal scheduling;Virtual power plants;Wind power generation","","","","15","IEEE","29 Dec 2023","","","IEEE","IEEE Conferences"
"Correlation and Comparison between Economic Dispatch with CO2 Emissions and Economic Emission Dispatch as Performance Optimization of Power Plants in Central Java Province with Particle Swarm Optimization (PSO) Methods","Denis; E. W. Sinuraya; S. Handoko; Y. Alvin Adi Soetrisno; M. B. A. Samudro","Department of Electrical Engineering Faculty of Engineering, Diponegoro University, Semarang, Indonesia; Department of Electrical Engineering Faculty of Engineering, Diponegoro University, Semarang, Indonesia; Department of Electrical Engineering Faculty of Engineering, Diponegoro University, Semarang, Indonesia; Department of Electrical Engineering Faculty of Engineering, Diponegoro University, Semarang, Indonesia; Department of Electrical Engineering Faculty of Engineering, Diponegoro University, Semarang, Indonesia",2019 IEEE 6th International Conference on Engineering Technologies and Applied Sciences (ICETAS),"16 Jun 2020","2019","","","1","6","Power Plants use the process of changing energy to produce electricity. The most substantial electricity generation costs are derived from fuel costs. Among the existing power plants, steam power plants with coal fuel are power plants that supply the most significant electrical energy needs because this type of power plant is very economical and capable of producing high capacity electricity. Behind all that, this steam power plant is a power plant with very high emission factors when compared to other power plants so that it will have an impact on the environment. Therefore, it is necessary to limit the operation of Steam Power Plants by optimising economic deliveries and emissions to get the scheduling of plants with the smallest emission values with minimum operating costs. The simulation results are identical to the Lagrange multiplier method. At each expenditure, there will be a decrease in the value of emissions in the results of the optimisation of Economic and Emissions Dispatch when compared to emissions in the optimisation of Economic Dispatch.","","978-1-7281-4082-7","10.1109/ICETAS48360.2019.9117365","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9117365","Steam Power Plants;Optimization;Economic and Emission Dispatch;Emission Factor","","","","","17","IEEE","16 Jun 2020","","","IEEE","IEEE Conferences"
"Transition of Thailand's Power Sector toward Carbon Neutrality 2050","A. Chaichaloempreecha; B. Limmeechokchai","Sirindhorn International Institute of Technology (SIIT), Thammasat University, Klong Luang, Pathummthani, Thailand; Sirindhorn International Institute of Technology (SIIT), Thammasat University, Klong Luang, Pathummthani, Thailand","2022 International Conference and Utility Exhibition on Energy, Environment and Climate Change (ICUE)","4 May 2023","2022","","","1","7","The Paris Agreement sets out a global framework to avoid dangerous climate change by limiting global warming to well below 2°C and pursuing efforts to limit it to 1.5°C. To limit global warming to 1.5 degrees Celsius, carbon neutrality becomes a challenge issue worldwide. In 2021, Thailand's Prime Minister pledged at COP26 in Glasgow that Thailand aims at carbon neutrality by 2050, and net zero emissions by 2065. The CO2 emission reduction in the power sector is a significant issue to develop a decarbonized power system. The objective of this study is to analyze energy system in Thailand's power sector toward carbon neutrality 2050 by using Thailand AIM/Enduse model. This study formulates business-as-usual (BAU) and three different carbon neutrality scenarios (CN2050). These CN2050 scenarios are formulated within Thailand context by considering the global CO2 emission trajectories obtained from the integrated assessment models (IAMs) under the different Shared Socioeconomic Pathways (SSPs), namely SSP1, SSP2 and SSP4 scenarios for the representative concentration pathway (RCP) of 1.9 watts W/m2. Most of the CO2 emissions in the energy sector are contributed by the fossil fuel combustion for electricity generation. The power sector contributed more than 40% of the CO2 emission in the energy sector. The CO2 emissions in the power sector are found increasing from 93 MtCO2 in 2010 to 142 MtCO2 in 2030 and 223 MtCO2 in 2050 in the BAU scenario, with AAGR of 2.2% annually. To achieve the carbon neutrality target, the decarbonization in the power generation are the main pillar to reduce the CO2 emission. The CO2 emissions in the power sector are estimated to be reduced by 53%-89% in the CN2050 in 2030 compared to the BAU scenario. In 2050, the CO2 emissions in the power sector are estimated to be zero in the CN2050 scenario. The improvement of energy efficiency, the penetration of renewable energies, and carbon capture and storage (CCS) deployment including fossil fuel based with both CCS and bioenergy with CCS provide a positive effect on CO2 emissions reduction over the period 2010–2050.","","979-8-3503-3326-8","10.1109/ICUE55325.2022.10113547","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10113547","Decarbonized power sector;Paris agreement;Thailand;Carbon neutrality;AIM/Enduse","Renewable energy sources;Limiting;Low-carbon economy;Carbon neutral;Global warming;Fossil fuels;Energy efficiency;Climate change","","","","22","IEEE","4 May 2023","","","IEEE","IEEE Conferences"
"An Approach to Calculate Marginal CO2 Emissions Factor Based on Historical Emissions","A. Rabiee; S. A. Alavi; A. Keane; J. McCann","School of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; School of Electrical and Electronic Engineering, University College Dublin, Dublin, Ireland; Energy Institute, University College Dublin, Dublin, Ireland; Research and Technology Department, Sustainable Energy Authority of Ireland (SEAI), Dublin, Ireland",2023 58th International Universities Power Engineering Conference (UPEC),"1 Nov 2023","2023","","","1","5","Assessing the effectiveness of climate action policies enacted by governments is crucial in addressing the challenges of climate change. In this regard, marginal carbon emissions could be employed as an evaluation factor. This paper introduces a mathematical approach to compute the marginal emissions factor at a quarter-hourly resolution. The method relies on readily available average emissions factors derived from the generation schedule and corresponding fuel mix. Leveraging publicly accessible datasets from the Irish transmission system operator's data portal, the approach incorporates historical mean carbon intensity time series and system generation data. Our findings reveal that even minor fluctuations in demand could lead to significant increases in marginal carbon emissions, contingent upon the system's conditions concerning variations in renewable generation and interconnector flow. By quantifying these relationships, policymakers and stakeholders gain valuable insights for optimizing climate change mitigation strategies.","","979-8-3503-1683-4","10.1109/UPEC57427.2023.10294836","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10294836","carbon intensity;marginal emissions factor;generation mix;carbon reduction","Renewable energy sources;Climate change;Schedules;Power engineering;Fluctuations;Time series analysis;Government","","","","9","IEEE","1 Nov 2023","","","IEEE","IEEE Conferences"
"Reserve power estimation according to the Baltic power system 2050 development plan","R. Petrichenko; J. Kozadajevs; L. Petrichenko; A. Silis","Institute of Power Engineering, Riga Technical University, Riga, Latvia; Institute of Power Engineering, Riga Technical University, Riga, Latvia; Institute of Power Engineering, Riga Technical University, Riga, Latvia; Institute of Power Engineering, Riga Technical University, Riga, Latvia",2022 IEEE 7th International Energy Conference (ENERGYCON),"21 Jul 2022","2022","","","1","6","Development plans in the energy sector of European countries assume modifications almost in all fields of energy systems. Global use of renewable energy sources is expected to achieve the primary purpose of energy sector development plan — reduction of greenhouse gas emissions into the atmosphere. Towards that goal, national energy development plans intend to implement a huge number of renewable energy sources and to reduce the capacity of, or shut down, fossil fuel power plants. However, the results of the latter action are not well researched. For timely reaction to avoid any accidents in the future, there is a need for comprehensive assessment of the impact of the above power plants on the power system in a long-term perspective. This article focuses on the reasonableness of conventional power plants in the energy systems of the Baltic countries in 2050.","","978-1-6654-7982-0","10.1109/ENERGYCON53164.2022.9830517","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9830517","power balance;Baltic power system;power reserve","Renewable energy sources;Climate change;Greenhouse effect;Simulation;Europe;Production;Power systems","","4","","28","IEEE","21 Jul 2022","","","IEEE","IEEE Conferences"
"How and Why the Batteries in the Sectors of Photovoltaics and Electric Vehicles Could Have Impact on the Society","S. S. Halilčević; P. S. Georgilakis","Department of Power and Energy Engineering, University of Tuzla, Tuzla, Bosnia and Herzegovina; School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece",2019 IEEE Milan PowerTech,"26 Aug 2019","2019","","","1","6","The batteries in the energy sector are applied in electric vehicles and photovoltaic plants in the last two decades. Although batteries have shown their usefulness in the electric vehicles and photovoltaic plants, there are still several issues that need to be solved and analyzed, such as the high costs of materials for batteries manufacturing, and constraints for the large scale implementation of batteries on the mentioned fields. This paper investigates the impacts of batteries on environment protection, oil and gas industry, and utilities, or simply the influence on the society. These impacts are the reduction of CO2, NOx, SOx, and particulate matters, redirected mining industry, new utility paradigm, reduced oil and gas imports in the EU, and new regulatory framework for the industries.","","978-1-5386-4722-6","10.1109/PTC.2019.8810677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8810677","batteries;electric vehicle;industry;photovoltaic plant;society","Batteries;Automobiles;Oils;Photovoltaic systems;Electric vehicles","","1","","23","IEEE","26 Aug 2019","","","IEEE","IEEE Conferences"
"Economic Analysis of High Penetration of Renewable Energy under Market Environment","J. Ye; H. Zhang; H. Huang; X. Hu; X. Wu; Y. Xu; C. Yang","State Grid Zhejiang Lishui Electric Power Company, Ltd., Lishui, China; State Grid Zhejiang Lishui Electric Power Company, Ltd., Lishui, China; State Grid Zhejiang Lishui Electric Power Company, Ltd., Lishui, China; State Grid Zhejiang Lishui Electric Power Company, Ltd., Lishui, China; State Grid Zhejiang Lishui Electric Power Company, Ltd., Lishui, China; State Grid Zhejiang Lishui Electric Power Company, Ltd., Lishui, China; Hangzhou Guodian Power Technology Development Company, Ltd., Hangzhou, China",2023 IEEE Sustainable Power and Energy Conference (iSPEC),"25 Jan 2024","2023","","","1","5","The proportion of renewable energy is gradually increasing with the requirement for carbon reduction in the energy sector. In the situation of high proportion of renewable energy integrated into power systems, the traditional market mechanism dominated by thermal power units may no longer be suitable. This paper simulates the results of LMPs calculated by the economic dispatch model when the installed capacity of renewable energy is high and analyzes the unreasonable results. In addition, this paper proposes to modify the cost function of renewable energy units to linear function. Based on it, the traditional economic dispatch model is thereafter modified to attach the carbon emission cost to the objective function of the market clearing model. Finally, this paper simulates the problem of optimal location selection for renewable energy installations to demonstrate the effectiveness of the proposed updated economic dispatch model.","2837-522X","979-8-3503-2269-9","10.1109/iSPEC58282.2023.10403104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10403104","High Penetration of Renewable Energy;Market;Economic Dispatch;Economic Analysis","Renewable energy sources;Costs;Systematics;Carbon dioxide;Cost function;Linear programming;Power systems","","","","15","IEEE","25 Jan 2024","","","IEEE","IEEE Conferences"
"N-BEATS neural network structure for sub-critical boiler data-driven modelling","V. Formont; L. O. Nord","Energy and Process Engineering, Norwegian University of Technology and Science, Trondheim, Norway; Energy and Process Engineering, Norwegian University of Technology and Science, Trondheim, Norway",2023 International Joint Conference on Neural Networks (IJCNN),"2 Aug 2023","2023","","","1","8","Carbon Capture and Storage (CCS) processes can play an important role in reducing the effects of global warming in the coming years. When coupled with a thermal power plant, it has the ability to prevent a large amount of CO2 from being released into the atmosphere. However, this technology is associated with a reduction in the efficiency of the power plant it is paired with. As a general rule, the higher the capture rate of CO2, the less effective the plant is. As it is a recent application, it is still possible to reduce the penalty associated with its use. Therefore, it becomes very important to model the thermal power plant associated with this process as accurately and quickly as possible. This work focuses on the boiler of such a plant. Based on experimental data, it aims to assess the feasibility of modeling the boiler of a CCS-coupled coal-fired power plant using a traditional statistical time-series method (ARIMA), a state-of-the-art artificial neural network (ANN) structure, and a hybrid model that combines the previous algorithms. The ANN hyperparameters are optimized using a Tree-structured Parzen Estimators approach. Using different optimization intervals, different sets of hyperparameters are chosen to produce different models. The results showed that the ANN outperformed the ARIMA method by 18%, however, the optimization time outweighed the positive improvement. The ARIMA-based forecasts had an error of only about 1% sMAPE, which is a satisfying value. The combination of the ANN and ARIMA methods using a simple average produced a model that was 18 % better than the best “single” algorithm used.","2161-4407","978-1-6654-8867-9","10.1109/IJCNN54540.2023.10191299","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10191299","","Atmosphere;Artificial neural networks;Boilers;Data models;Hybrid power systems;Global warming;Carbon capture and storage;Climate change","","","","30","IEEE","2 Aug 2023","","","IEEE","IEEE Conferences"
